human	mouse	corrs
SUPT5H	Supt5	1
STUB1	Stub1	1
NME4	Nme2	0.56894430855384
CCK	Cck	1
SNU13	Gm5616	1
MOB1A	Mob1a	0.916781861325184
LZTS2	Lzts2	1
TRIM29	Trim29	1
LRRC52	Lrrc52	1
PDGFD	Pdgfd	1
KREMEN2	Kremen2	1
SLC38A9	Slc38a9	1
RAE1	Rae1	1
CACNA2D3	Cacna2d3	0.767277699815168
SENP8	Senp8	1
TRIM69	Trim69	1
SLC22A13	Slc22a13	1
TAF8	Taf8	1
GRK1	Grk1	1
TEX15	Tex15	1
PLCD1	Plcd1	0.493991568913021
C9orf153	4921517D22Rik	1
OR6X1	Olfr986	1
SCG3	Scg3	1
TCEA3	Tcea3	1
THYN1	Thyn1	1
SETD1A	Setd1a	0.661107166614136
DDX4	Ddx4	1
TACC2	Tacc2	1
C7	C7	1
RGS4	Rgs4	1
LRRC55	Lrrc55	1
QTRT1	Qtrt1	1
CD3D	Cd3d	1
PROC	Proc	1
FOXB1	Foxb1	1
KRT80	Krt80	1
AREG	Areg	1
PPARGC1A	Ppargc1a	1
RAB3C	Rab3c	0.908500022605337
CCDC168	Gm8251	1
CCS	Ccs	1
CD14	Cd14	1
CRYAB	Cryab	1
HUNK	Hunk	1
SNX17	Snx17	1
SLC37A3	Slc37a3	1
ESYT1	Esyt1	1
UFC1	Ufc1	1
PIEZO2	Piezo2	1
C11orf71	Gm5617	1
DEGS2	Degs2	1
SGK1	Sgk1	1
ITGA1	Itga1	0.886521636579111
NEURL1	Neurl1a	1
TEX12	Tex12	1
GRIN2C	Grin2a	0.923340943530618
HERPUD2	Herpud2	1
HOMER2	Homer2	1
GOLGA3	Golga3	1
APLP2	Aplp2	1
NDUFS4	Ndufs4	1
PCSK7	Pcsk7	1
C3orf67	4930452B06Rik	1
RBKS	Rbks	1
KDELC2	Kdelc2	1
EDNRB	Ednrb	1
TRPM3	Trpm3	0.743126526802417
SLC25A32	Slc25a32	1
MTCP1	Mtcp1	0.584692767588693
RHO	Rho	1
SLN	Sln	1
GCM1	Gcm1	1
MRFAP1L1	Gm5814	0.538804006863435
CPLX3	Cplx3	1
CDKN2B	Cdkn2b	0.883797399544886
SLC38A3	Slc38a3	1
RAB29	Rab29	0.688309577467483
ZNF775	Zfp775	1
PHLDA2	Phlda2	1
ANKK1	Ankk1	1
GRAMD2B	Gramd3	1
ENDOD1	Endod1	1
CNN1	Cnn1	1
SORBS3	Sorbs3	1
NCAPH2	Gm7535	1
MYL10	Myl10	0.452678616395331
ATP6V1E2	Atp6v1e2	1
OPN3	Opn3	1
HIGD1A	Higd1a	0.719752520579419
CLMN	Clmn	1
SPATA9	Spata9	1
CPVL	Cpvl	1
CD69	Cd69	1
POP4	Pop4	1
TAS2R38	Tas2r138	1
PDZD4	Pdzd4	0.696560687464191
CHML	Chml	0.872983438613483
ATP5MC2	Gm10175	1
MTFP1	Mtfp1	1
AP1M2	Ap1m2	0.923280767186641
ARL6IP1	Arl6ip1	1
SMIM1	Smim1	1
PCF11	Pcf11	1
PRICKLE4	Gm21981	1
WDYHV1	Wdyhv1	1
PRPF4B	Prpf4b	1
SOWAHC	Sowahc	1
FRS3	Frs3	1
UBE2G2	Ube2g2	1
SLIRP	Slirp	1
SLITRK6	Slitrk6	0.720835605461754
C11orf65	4930550C14Rik	1
PRCP	Prcp	1
TUBE1	Tube1	1
PSENEN	Psenen	1
AC124312.1	Snurf	0.553089793805287
NAALADL1	Naaladl1	1
CTSB	Ctsb	1
WDR44	Wdr44	1
FAM193B	Fam193b	1
SSR3	Ssr3	1
KCNB2	Kcnb2	1
SNRPN	Snrpn	0.639104273719027
MIPEP	Mipep	1
FUBP3	Fubp3	0.732936347126616
CHORDC1	Chordc1	1
OR2AT4	Olfr520	1
FOXK2	Foxk2	1
GARS	Gars	1
MCAT	Mcat	1
C10orf71	3425401B19Rik	1
POLK	Polk	1
RAB11FIP1	Rab11fip1	1
TAAR1	Taar1	1
NADK2	Nadk2	1
FAM192A	Fam192a	1
FLYWCH1	Flywch1	1
MBTPS2	Mbtps2	0.389630090850929
H1F0	H1f0	1
ADCY2	Adcy2	0.727459899064966
COL4A1	Col4a1	1
SLC25A37	Slc25a37	1
B2M	B2m	1
HPS6	Hps6	1
CTRL	Ctrl	1
AP3B1	Ap3b1	0.902055506938889
GPRIN3	Gprin3	1
ZNF219	Zfp219	1
MMP8	Mmp8	1
OOSP2	Oosp2	1
DCAF10	Dcaf10	1
MKS1	Mks1	1
ANKRD40CL	Gm21885	1
NPPA	Nppa	1
SLC38A2	Slc38a2	1
STOX2	Stox2	0.849950717171098
ERVW-1	Synb	0.193603937555751
OTC	Otc	1
CASD1	Casd1	1
GPNMB	Gpnmb	1
TXNL1	Txnl1	1
MANSC1	Mansc1	1
TTC5	Ttc5	1
TM6SF2	Tm6sf2	0.950968836676093
PRR33	Prr33	1
SPATA19	Spata19	1
OGA	Mgea5	1
MED20	Med20	1
USP25	Usp25	0.411222152705573
GMFG	Gmfg	0.930446295790944
NRAP	Nrap	0.955398995231475
CCR8	Ccr8	1
SNX2	Snx2	1
NEIL2	Neil2	1
MCIDAS	Mcidas	1
WDTC1	Wdtc1	1
ZNF655	Zfp655	1
TTLL5	Ttll5	1
SLC22A3	Slc22a3	1
CX3CR1	Cx3cr1	1
EFHB	Efhb	1
FAM83H	Fam83h	1
TIMM8B	Timm8b	1
SLC6A8	Slc6a8	0.897118189616749
GIMAP8	Gimap8	1
LSM1	Lsm1	1
CYP19A1	Cyp19a1	1
DOCK5	Dock5	0.712907884010414
SLCO2A1	Slco2a1	1
CMTM7	Cmtm7	1
PSD	Psd	1
OST4	Ost4	1
NLRP12	Nlrp12	0.151461594362012
IER2	Ier2	1
CDC42BPB	Cdc42bpb	0.930688997657803
METTL4	Mettl4	1
PMAIP1	Pmaip1	1
RPL3	Rpl3	0.883017434566436
PTPRJ	Ptprj	1
TSPO	Tspo	1
KLHL2	Klhl2	0.632184715456145
RBMX	Rbmxl1	0.872838274219388
ANLN	Anln	1
GPATCH8	Gpatch8	1
LETM2	Letm2	1
POLR2C	Polr2c	1
PRRG2	Prrg2	1
SPA17	Spa17	1
HR	Hr	1
CLDN10	Cldn10	1
NEPNP	Nepn	1
BSPH1	Bsph2	1
DENND4A	Dennd4a	1
TLN2	Tln2	0.928207614924247
COPRS	Coprs	1
CLGN	Clgn	0.269533865200906
PLAU	Plau	1
TIGIT	Tigit	1
S1PR1	S1pr1	1
SMIM3	Smim3	1
OR9H1P	Olfr466	1
CPA6	Cpa6	1
FEZF1	Fezf1	1
C10orf105	Gm17455	1
PITPNM2	Pitpnm2	1
TMPRSS6	Tmprss6	1
SH3RF1	Sh3rf1	0.619864613370627
CALY	Caly	1
DUT	Dut	1
RNF111	Rnf111	1
RYR2	Ryr2	0.959888791106093
CYP51A1	Cyp51	1
HBEGF	Hbegf	1
XYLB	Xylb	1
ASPN	Aspn	0.62618246838923
FANCI	Fanci	1
FAU	Gm9843	1
KIAA1024	AF529169	1
PPP2R5B	Ppp2r5b	0.659631678171344
TOPAZ1	Topaz1	1
CDC37	Cdc37	1
C2CD4C	C2cd4c	1
MYO16	Myo16	1
RAB5A	Rab5a	0.80868230393452
TAS2R42	Tas2r131	1
C11orf88	4833427G06Rik	1
NPAS1	Npas1	1
ZNF300	Zfp820	1
TEX36	Tex36	1
CELSR1	Celsr1	0.411440042561648
MRGPRE	Mrgpre	1
SCD	Scd1	0.314823472976162
OR6Q1	Olfr522	1
SCYL1	Scyl1	1
SIVA1	Siva1	1
PARP6	Parp6	1
MLYCD	Mlycd	1
HIST1H4K	Hist1h4b	1
BCL2L13	Bcl2l13	1
TRAPPC9	Trappc9	1
GNPNAT1	Gnpnat1	1
HSPBAP1	Hspbap1	0.552744806917766
AGPAT5	Agpat5	1
GOT1L1	Got1l1	1
RP1L1	Rp1l1	1
CCDC185	Ccdc185	1
ZNF213	Zfp213	1
SCAMP2	Scamp2	1
PFN3	Pfn3	1
FAM183A	Fam183b	1
DNAJC27	Dnajc27	0.646785044343009
ZDHHC8	Zdhhc8	1
MAT2A	Mat2a	0.776938004844418
PSMC2	Psmc2	1
PELI3	Peli3	1
CCL26	Ccl26	1
PTPRE	Ptpre	0.85618116072435
MSTO1	Msto1	1
FKBP1B	Fkbp1b	0.623125153368866
SIGIRR	Sigirr	1
KMT2A	Kmt2a	1
SULT4A1	Sult4a1	1
ST3GAL1	St3gal1	0.841741551816817
RPS6KA4	Rps6ka4	0.63451740130271
CYTH1	Cyth1	0.828915772706131
RTP4	Rtp4	1
TXNRD1	Txnrd1	0.684461391581418
SPG21	Spg21	1
ERICH1	Erich1	1
SEC24C	Sec24c	0.515956582306633
TRIM62	Trim62	1
SCAMP5	Scamp5	1
ZNF319	Zfp319	1
RFX4	Rfx4	1
DISP2	Disp2	0.788295968714472
TPD52L3	Trpd52l3	1
OPN5	Opn5	1
TMEM138	Tmem138	1
UBE2M	Ube2m	1
CRISP2	Crisp1	0.140701368181393
RAB3GAP1	Rab3gap1	1
LMOD2	Lmod2	1
UNC5D	Unc5d	1
HLCS	Hlcs	1
UACA	Uaca	1
MLF2	Mlf2	1
PCMTD2	Pcmtd2	1
HAPLN1	Hapln1	1
DMPK	Dmpk	0.823436198934095
MAGT1	Magt1	0.746826092287846
LSP1	Lsp1	1
CCDC153	Ccdc153	1
CSF2RB	Csf2rb	1
NPC2	Npc2	1
DHX29	Dhx29	1
VWCE	Vwce	1
ENDOU	Endou	1
ARHGAP40	Arhgap40	1
APLF	Aplf	1
OPHN1	Ophn1	0.786266282655345
OR8I2	Olfr1104	1
WISP3	Wisp3	1
CCDC82	Ccdc82	1
HTR7	Htr7	1
SIL1	Sil1	1
IGSF3	Igsf3	0.647662514204377
FIG4	Fig4	1
NSDHL	Nsdhl	1
GPI	Gm1840	1
TRAPPC4	Trappc4	1
GATM	Gatm	1
RPS23	Rps23	1
NDN	Ndn	1
PXK	Pxk	1
TNFRSF19	Tnfrsf19	1
ATL3	Atl3	0.846435391828238
IGF1R	Igf1r	0.74738973406153
FAM169A	Fam169a	1
PCGF5	Pcgf5	1
EFNA5	Efna5	1
ITPRIPL2	Itpripl2	1
TM9SF3	Tm9sf3	1
COMMD8	Commd8	1
EAF1	Eaf1	1
AAGAB	Aagab	1
SLC32A1	Slc32a1	1
MOAP1	Moap1	1
HHLA1	Hhla1	1
DRD3	Drd3	1
OR7G3	Olfr873	0.351213820877582
ERMARD	Ermard	1
MAGEB16	Mageb16	1
CCDC155	Ccdc155	1
DHCR24	Dhcr24	1
GAL3ST3	Gal3st3	1
SEMA7A	Sema7a	1
MAPRE3	Mapre3	0.932638878852602
TTYH2	Ttyh2	1
NTNG1	Ntng1	1
CADM2	Cadm2	1
KLF3	Klf3	1
IRGC	Irgc1	1
C7orf25	AW209491	1
CCNJ	Ccnj	1
IL21R	Il21r	1
RPSA	Rpsa	1
CINP	Cinp	1
ANKRD53	Ankrd53	1
SRPK2	Srpk2	0.641737811539609
RGR	Rgr	1
NOP2	Nop2	1
BCDIN3D	Bcdin3d	1
HOXC6	Hoxc6	1
PGK2	Pgk1-rs7	0.599925707145576
NPAS4	Npas4	1
EGLN3	Egln3	1
SCAND1	Gm9805	1
ELMOD1	Elmod1	1
RPS26	Rps26	1
PRKD1	Prkd1	0.895009812310624
UNC5B	Unc5b	0.889030050247152
GPBAR1	Gpbar1	1
CYP2E1	Cyp2e1	1
CTSW	Ctsw	1
ANKRD49	Ankrd49	1
CLUH	Cluh	1
STOML1	Stoml1	1
MSANTD2	Msantd2	1
CACNA1E	Cacna1e	0.742174775400933
BAIAP3	Baiap3	1
KRTAP10-3	Gm7137	0.609702625120958
ZNF574	Zfp574	1
ZNF277	Zfp277	1
PITRM1	Pitrm1	1
INCENP	Incenp	1
DNAJA2	Dnaja2	1
SKAP1	Skap1	1
SCT	Sct	1
CCR3	Ccr3	1
PARD6A	Pard6a	1
ACTR5	Actr5	1
ITGB1BP2	Itgb1bp2	1
AKAP3	Akap3	1
YAE1	Yae1d1	1
RIPK3	Ripk3	1
PRELP	Prelp	1
MAD2L1BP	Mad2l1bp	1
MGMT	Mgmt	1
NT5DC3	Nt5dc3	0.190564071357786
N6AMT1	N6amt1	1
CDK20	Gm16505	1
SPESP1	Spesp1	1
CNNM2	Cnnm2	0.688303718138555
OLFM2	Olfm2	1
DPY19L1	Dpy19l2	1
TLX3	Tlx3	0.588681552629142
HCAR3	Hcar2	0.902117159199437
TPO	Tpo	1
C1orf87	Gm12695	1
TTI2	Tti2	1
GOLM1	Golm1	1
VSIG2	Vsig2	1
CEBPA	Cebpa	1
A1CF	A1cf	1
MTRF1	Mtrf1	1
UBQLN2	Ubqln2	0.830392658183756
SLC25A29	Slc25a29	1
SLC16A14	Slc16a14	1
EPDR1	Epdr1	1
APEX1	Apex1	1
IL17RA	Il17ra	1
FNBP4	Fnbp4	1
GOPC	Gopc	1
AQP2	Aqp2	0.99492851136238
ZHX2	Zhx2	1
C3orf84	BC048562	1
MAP2	Map2	1
LAMA1	Lama1	0.881985879044091
OPTC	Optc	1
CCDC150	Ccdc150	1
CCDC15	Ccdc15	1
NYNRIN	Nynrin	1
KCMF1	Kcmf1	1
GOLT1B	Golt1b	1
PCP2	Pcp2	1
MYLIP	Mylip	1
CLEC12B	Clec12b	1
UBE2A	Ube2a	0.402280323191164
GTSF1	Gtsf1	1
OR2Z1	Olfr372	1
RTN4R	Rtn4r	1
ST6GALNAC3	St6galnac3	1
CACNB3	Cacnb3	1
JMY	Jmy	1
CEACAM20	Ceacam20	1
OR8G5	Olfr936	1
NUPL2	Nupl2	1
CREB3L3	Creb3l3	1
OR4D2	Olfr984	1
RHBDD1	Rhbdd1	1
S1PR3	S1pr3	1
CUEDC2	Cuedc2	1
RHOJ	Rhoj	0.878108636884489
RNF11	Rnf11	1
ANXA7	Anxa7	1
CCAR1	Ccar1	1
CA3	Car3	1
SEPT10	Sept10	0.935734583962196
HSP90B1	Hsp90b1	0.894780027597415
JKAMP	4931417E11Rik	1
CHMP6	Chmp6	1
PLA2G4A	Pla2g4a	1
ZNF280B	Zfp280b	0.711549554559771
PFN1	Pfn1	0.784058067174292
CXCR5	Cxcr5	1
MPG	Mpg	1
SPART	Spg20	1
TMEM200A	Tmem200a	1
RABEPK	Rabepk	1
PBK	Pbk	1
FST	Fst	1
KHDRBS3	Khdrbs3	0.886478926229406
HNRNPL	Hnrnpl	1
ODF4	Odf4	1
HECTD1	Hectd1	1
CPN2	Cpn2	1
SYNGR1	Syngr1	1
TMEM158	Tmem158	1
OR7E24	Olfr868	1
RNF168	Rnf168	1
TBC1D21	Tbc1d21	1
ENOX1	Enox1	1
SEPT7	Sept7	1
EIF2B2	Eif2b2	1
ANKRD13A	Ankrd13a	1
IL34	Il34	1
HSD17B4	Hsd17b4	1
RBM17	Rbm17	1
IGDCC3	Igdcc3	1
ZSWIM6	Zswim6	0.628351509594935
FCHO1	Fcho1	1
FLNC	Flnc	0.956302780815675
DDX41	Ddx41	1
LIFR	Lifr	1
CPB2	Cpb2	1
GPR132	Gpr132	1
GMFB	Gmfb	0.800804417069145
SLC51B	Slc51b	1
OPA3	Opa3	1
BORA	Bora	1
GIGYF1	Gigyf1	1
PRKCQ	Prkcq	0.777308943701377
TLE6	Tle6	1
UBE2H	Ube2h	1
ARHGEF37	Arhgef37	1
DQX1	Dqx1	1
UPK2	Upk2	1
BCR	Bcr	0.439037198569176
DESI2	Desi2	1
ITGAX	Itgam	0.898868576206578
ZNF518A	Zfp518a	1
METTL11B	Mettl11b	1
RFESD	Rfesd	1
FAM189A2	Fam189a2	1
SLC7A1	Slc7a1	0.815789946006314
NEDD4L	Nedd4l	1
RBM43	Rbm43	1
DOCK6	Dock6	0.880952261905287
SLC6A11	Slc6a1	1
HCAR1	Hcar1	0.42334738446616
TNNC1	Tnnc1	1
CDC23	Cdc23	1
DBN1	Dbn1	1
SIAH3	Siah3	1
GINS1	Gins1	1
CUL2	Cul2	1
FOXD2	Foxd2	0.841174759942009
SPINT2	Spint2	1
LIMD1	Limd1	1
SULT1C4	Sult1c1	0.217637989694878
TRPV3	Trpv3	1
RASSF3	Rassf3	1
EIF3G	Eif3g	1
DDX46	Ddx46	1
EQTN	Eqtn	1
SLX4	Slx4	1
GTF3C4	Gtf3c4	1
SEL1L3	Sel1l3	1
NELL2	Nell2	1
OR2W1	Olfr1369-ps1	1
DOHH	Dohh	1
SNX22	Snx22	1
CHCHD2	Chchd2	1
MOV10	Mov10	1
HNRNPA0	Hnrnpa0	1
UBA3	Uba3	1
RAB23	Rab23	0.845026286524084
ZSWIM8	Zswim8	1
GRK6	Grk6	0.818883494658797
CEP85	Cep85	0.672998012814754
TMEM11	Tmem11	1
PHKG1	Phkg1	0.860812193941588
IPO5	Ipo5	0.851976430549082
UBP1	Ubp1	0.917112373104115
ARRDC2	Arrdc2	1
MROH7	Mroh7	1
HOXA9	Hoxa9	1
NIPSNAP1	Nipsnap1	1
TMEM214	Tmem214	1
SRRM1	Srrm1	1
NXNL2	Nxnl2	1
PHOSPHO1	Phospho1	1
PITPNM3	Pitpnm3	0.828589548991048
CHAMP1	Champ1	1
FAM151B	Fam151b	1
NGF	Ngf	1
DYNLRB1	Dynlrb1	0.475570550150284
C1orf141	4921539E11Rik	1
SMLR1	Smlr1	1
DEAF1	Deaf1	1
DTL	Dtl	1
GDF6	Gdf6	1
ZNF587B	Gm28168	1
CST8	Cst8	1
APOB	Apob	1
TGFBR3L	Tgfbr3l	1
PRLR	Prlr	1
ATP5PB	Atp5f1	1
OCA2	Oca2	1
ARID3A	Arid3a	0.647674216967906
TCTEX1D2	Tctex1d2	1
MYO7B	Myo7b	1
SLC25A18	Slc25a22	1
MARVELD2	Marveld2	1
BST2	Bst2	1
ZNF212	Zfp212	1
SAMD4B	Pak4	0.783982888882015
MTDH	Mtdh	1
ZFP57	Zfp57	0.140565923142966
POR	Por	1
LRRC15	Lrrc15	1
TSEN15	Tsen15	1
MMP2	Mmp2	1
TSSK1B	Tssk1	1
ACOT2	Acot2	0.231304023453426
ADGRG2	Adgrg2	1
CTRB2	Ctrb1	0.336527123763646
SLC18A3	Slc18a3	1
LY6D	2010109I03Rik	1
HSD17B13	Hsd17b13	0.903203997270072
NOXO1	Noxo1	1
NRL	Nrl	1
TMEM151B	Tmem151b	1
ZNF513	Zfp513	1
F2RL3	F2rl3	1
ABI3	Abi3	1
MTMR9	Mtmr9	1
PRRC2C	Prrc2c	0.842662209549555
BAG4	Bag4	1
GPR139	Gpr139	1
CPSF7	Cpsf7	1
GP5	Gp5	1
RPS6KA2	Rps6ka2	0.66126463334927
UPF1	Upf1	1
PAQR5	Paqr5	1
CXorf40B	1110012L19Rik	0.279720410870018
ABRA	Abra	1
ADAM18	Adam2	0.311828255653117
CXCR6	Cxcr6	1
ZC3H7A	Zc3h7a	1
METRN	Metrn	1
CXorf49	8030474K03Rik	1
POU3F2	Pou3f2	1
CSF1R	Csf1r	0.847383038225852
NLRX1	Nlrx1	1
FAM193A	Fam193a	1
PXMP2	Pxmp2	1
PSMC6	Psmc6	1
ZNF410	Zfp410	1
RANBP3	Ranbp3	1
F13A1	F13a1	0.612289579357334
CCDC159	Ccdc159	1
FURIN	Furin	0.629585244666336
SEMA3E	Sema3e	0.838464637657026
ASIC3	Asic3	1
EVL	Evl	1
DIO2	Dio3	1
VWA2	Vwa2	1
FGF19	Fgf15	1
LPA	Plg	0.98645522151444
MEIS2	Meis2	0.925047935441922
F2R	F2r	1
TNFRSF11B	Tnfrsf11b	1
APLN	Apln	1
FAM208B	Fam208b	1
ZNF317	Zfp317	1
HOXC8	Hoxc8	1
VPS26C	Dscr3	1
PCBD1	Pcbd1	1
SLC15A1	Slc15a1	0.518030762853754
KCNV1	Kcnv1	1
AFAP1L1	Afap1l1	1
CTR9	Ctr9	1
TMED1	Tmed1	0.521845109653769
CDH13	Cdh13	1
SDR9C7	Sdr9c7	1
POMK	Pomk	1
FAM19A1	Fam19a1	1
MTSS1	Mtss1	1
C1QTNF7	C1qtnf7	1
LSM10	Lsm10	1
FBXL16	Fbxl16	1
GP2	Gp2	0.785672194545716
S1PR2	S1pr2	1
KIAA0232	D5Ertd579e	1
CXXC4	Cxxc4	1
CLPTM1L	Clptm1l	1
FOXN2	Foxn2	1
CFAP221	Cfap221	1
HPSE2	Hpse2	1
LIMA1	Lima1	1
ASAH2	Asah2	0.155812094141257
BARX1	Barx1	1
EMX1	Emx1	1
WDR60	Wdr60	1
PSMC1	Psmc1	1
FBXO34	Fbxo34	1
HOXC5	Hoxc5	1
C3orf22	BC048671	1
FXR1	Fxr1	1
TRIP11	Trip11	1
GLDN	Gldn	1
ZFR2	Zfr2	0.5016196754158
NLRP10	Nlrp10	1
HOXC10	Hoxc10	1
CXXC5	Cxxc5	1
CASP6	Casp6	1
RAI14	Rai14	1
SMNDC1	Smndc1	1
SCFD1	Scfd1	1
BEND3	Bend3	1
KIAA1109	4932438A13Rik	1
PTPRG	Ptprg	0.9522114349072
XIRP2	Xirp2	1
TENT2	Papd4	1
HAUS3	Haus3	1
PRR7	Prr7	1
SYNE4	Syne4	1
LIPM	Lipa	1
YIF1B	Yif1b	1
ETV1	Etv1	1
PPP1R3B	Ppp1r3b	1
RBP3	Rbp3	1
IL2RB	Il2rb	1
INSL6	Insl6	1
TMEM225	Tmem225	1
KCNJ4	Kcnj4	1
MMACHC	Mmachc	1
GPR15	Gpr15	1
SPRY2	Spry2	1
SUSD2	Susd2	1
C11orf16	BC051019	1
C9orf50	1700001O22Rik	1
SCN2B	Scn2b	1
FXYD6	Fxyd6	0.709355246041073
HINT1	Hint1	1
TMEM88B	Tmem88b	1
MTM1	Mtmr1	1
CXCL16	Cxcl16	1
CDCA5	Cdca5	1
RNF31	Rnf31	1
TAS2R7	Tas2r130	1
QPCTL	Qpctl	1
FADS1	Fads1	0.655415871409718
ALDH4A1	Aldh4a1	1
SRR	Srr	1
FBN1	Fbn1	1
DPAGT1	Dpagt1	1
MMP10	Mmp3	0.821660446986321
SLC25A2	Slc25a2	0.271735575796816
CNIH2	Cnih2	1
GSG1	Gsg1	1
TMEM106B	Tmem106b	1
NKX6-2	Nkx6-1	0.659646398130291
CNNM4	Cnnm4	1
TARM1	Tarm1	1
S1PR4	S1pr4	1
LRCH2	Lrch2	1
FOXA1	Foxa1	1
FETUB	Fetub	1
CCT2	Cct2	1
GNB5	Gnb5	1
GNGT2	Gngt2	1
S100Z	S100z	1
MIER1	Mier1	1
PRSS8	Prss8	1
NME2	Nme1	1
PCDHGB1	Pcdhga1	0.891977673892394
GINM1	Ginm1	1
RELN	Reln	1
CRELD2	Creld2	1
SKAP2	Skap2	1
PLEKHH1	Plekhh1	0.931846608298039
VCL	Vcl	1
EIF1AD	Eif1ad	1
KLK6	Klk6	1
JMJD8	Jmjd8	1
ASIC1	Asic1	0.943710078042185
APBA3	Apba3	1
HSPB2	Hspb2	1
MB21D2	Mb21d2	1
SLC39A1	Slc39a1	1
GEMIN5	Gemin5	1
TMEM200B	Tmem200b	1
ADPGK	Adpgk	1
SC5D	Sc5d	1
B3GNT6	B3gnt6	0.98184368999363
MS4A15	Ms4a15	1
TMED4	Tmed9	0.726968797484526
NCK2	Nck2	1
POLR2E	Polr2e	1
AMZ2	Amz2	1
DPP8	Dpp8	1
TFAP2A	Tfap2a	1
GALC	Galc	1
PDCD4	Pdcd4	1
CLIC1	Clic1	1
TMPRSS5	Tmprss5	1
CH25H	Ch25h	1
ORMDL2	Ormdl2	0.70390728294235
IGF1	Igf1	1
CLASP1	Clasp1	0.520533007525545
ZNRD1	Znrd1	1
ZC3H14	Zc3h14	1
DNMT1	Dnmt1	1
C16orf91	BC003965	1
C5orf22	6030458C11Rik	1
RANBP3L	Ranbp3l	1
PDE7B	Pde7b	1
SLC22A1	Slc22a1	0.708015160078652
SDAD1	Sdad1	1
DEPTOR	Deptor	1
ZNF441	Gm20422	0.707044645623922
GPR6	Gpr6	1
TYMP	Tymp	1
VKORC1L1	Vkorc1l1	1
RARB	Rarb	0.899616672768802
USP28	Usp28	0.87431829193133
SERTM1	Sertm1	1
PYY	Pyy	0.980925028266419
WBP4	Wbp4	1
VPS37C	Vps37c	1
HLA-DQA1	H2-Aa	0.903984981404861
HOXC9	Hoxc9	1
EBI3	Ebi3	0.696926660227098
FRK	Frk	1
OR8S1	Olfr283	1
DUPD1	Dupd1	1
ARHGAP9	Arhgap9	1
RPL17	Rpl17	0.727969522297478
INTS9	Ints9	1
SPRYD3	Spryd3	1
TMEM190	Tmem190	1
CEBPZ	Cebpz	1
CCDC13	Ccdc13	1
RAX	Rax	1
CETN3	Cetn3	1
SAMD1	Samd1	0.674361772129946
FOXO1	Foxo1	1
UBE2S	Ube2s	1
RSPO2	Rspo2	1
SPECC1L	Specc1l	0.578989541087937
IDH3A	Idh3a	1
JUND	Jund	1
MAGEL2	Magel2	1
FLRT2	Flrt2	1
GTF3C6	Gtf3c6	1
UPK3A	Upk3a	1
WDR36	Wdr36	1
LONRF1	Lonrf1	1
PPIL1	Ppil1	1
ROPN1B	Ropn1	0.876782988145426
SNX32	Snx32	1
ACSBG2	Acsf3	0.331177923121042
DNAJB6	Dnajb6	1
TAS1R2	Tas1r2	1
RCOR2	Rcor2	1
LAYN	Layn	1
SYNJ2BP	Synj2bp	0.449430545439131
NPY4R	Npy4r	1
EFCAB11	Efcab11	1
SLC9C1	Slc9c1	1
MRPL57	Mrpl57	1
HNRNPA2B1	Gm9242	0.23913584660696
CSTB	Cstb	1
SYN2	Syn2	0.895008043154145
SLC16A10	Slc16a10	1
FIBP	Fibp	1
C9orf152	D630039A03Rik	1
WDR46	Wdr46	1
ASMTL	Asmt	0.225654539800733
UBQLNL	Ubqlnl	1
DZIP1	Dzip1	1
NDUFAF7	Ndufaf7	1
CACNA1B	Cacna1a	0.895356107907779
IFFO2	Iffo2	1
ATP5S	Atp5s	1
KCNC3	Kcnc3	0.744039505896477
RNASE10	Rnase10	1
VAX2	Vax2	1
SPATC1	Spatc1	1
CUL1	Cul1	1
ADAMTSL2	Adamtsl2	1
ICAM1	Icam1	0.542638681853998
NUP133	Nup133	1
ICAM4	Icam4	1
RAB20	Rab20	0.708405245447557
NFATC1	Nfatc1	1
PAK2	Pak2	0.876320737685091
INPP5B	Inpp5b	1
IL17RD	Il17rd	1
TMEM74	Tmem74	1
NDUFA4	Ndufa4	1
SLC7A15P	Slc7a15	1
PAX8	Pax8	1
NID1	Gm2399	1
RPRM	Rprm	1
MTRNR2L1	Gm20594	0.362229713034639
ATP9B	Atp9b	0.779164403986064
SLC9A3	Slc9a3	0.958306818036168
ANKRD1	Ankrd1	0.929108683714635
TMEM263	Tmem263	1
NR3C2	Nr3c2	1
TSPAN8	Tspan8	1
SNAPC5	Snapc5	1
OR10V1	Olfr1420	1
CALML3	Calml3	1
MTERF2	Mterf2	1
PRKCG	Prkcg	0.850205320647807
AKIP1	Akip1	1
CD8A	Cd8a	1
LARP4	Larp4	1
ZYX	Zyx	1
FXYD4	Fxyd4	1
PWP1	Pwp1	1
PNPT1	Pnpt1	1
SPATA45	Spata45	1
SLC35F2	Slc35f2	1
BRD8	Brd8	1
HACD3	Hacd3	1
ALDH6A1	Aldh6a1	1
OAF	Oaf	1
REEP2	Reep2	0.727990908028898
KIAA0895	9530077C05Rik	0.617054848945133
PLIN1	Plin1	1
COX16	Cox16	1
GPRC5B	Gprc5b	1
PIGL	Pigl	1
NUP205	Nup205	1
PLXDC1	Plxdc1	1
TPCN2	Tpcn2	1
FAM161B	Fam161b	1
CD63	Cd63	1
YIPF2	Yipf2	1
PRDM4	Prdm4	1
GNPTG	Gnptg	1
ZNF559-ZNF177	Gm14296	0.175515105107785
